,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1646,4,3,4,4,4,5,4,4,4,0,0,0,0,0,4
1647,4,5,3,5,5,5,6,6,5,5,6,5,6,5,5
1648,5,4,4,4,5,5,5,5,4,0,0,0,0,0,5
1649,6,3,6,5,5,5,6,6,6,5,6,5,6,2,4
1650,5,3,3,4,4,4,4,4,4,4,0,4,0,0,4
1651,4,5,4,5,5,5,5,5,6,5,6,5,6,5,5
1652,6,4,4,3,4,4,6,6,6,4,4,4,6,4,4
1653,5,5,5,5,4,5,2,2,3,4,4,6,2,0,5
1654,5,5,4,3,4,4,6,6,4,3,6,4,6,3,5
1655,5,3,5,2,5,0,6,6,6,3,3,6,6,6,4
1656,6,3,3,4,5,4,6,6,6,4,6,5,6,6,4
1657,6,3,3,4,4,3,6,4,4,6,6,6,6,6,3
1658,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1659,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1660,6,3,3,4,4,4,4,4,4,2,2,4,2,6,4
1661,5,6,6,3,5,5,6,6,5,5,5,6,6,6,4
1662,3,4,5,4,4,4,6,6,6,4,4,5,6,6,4
1663,5,3,4,5,5,5,6,6,5,5,4,6,6,6,4
1664,5,4,4,4,4,4,6,6,5,5,5,6,4,6,4
1665,5,5,5,5,5,5,5,5,6,5,5,6,6,6,5
1666,0,3,3,3,3,4,4,4,3,4,3,4,3,3,3
1667,3,3,3,4,4,4,6,3,0,3,3,5,4,6,3
1668,5,3,3,3,3,3,3,3,6,1,2,6,2,6,3
1669,6,4,6,4,4,4,6,6,6,4,4,4,6,6,4
1670,3,3,4,5,4,5,3,3,5,5,5,6,6,6,4
1671,3,6,3,3,4,4,6,4,6,4,6,6,6,6,4
1672,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
1673,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
1674,4,4,3,4,4,4,6,6,6,6,6,6,6,6,4
1675,6,5,6,5,5,5,6,6,6,6,6,6,6,6,5
1676,3,3,6,3,3,3,3,3,6,6,6,6,6,6,6
1677,2,3,3,4,3,3,3,3,4,4,6,4,6,6,4
1678,0,1,2,0,3,3,0,0,0,0,0,0,0,0,4
1679,5,6,3,4,5,3,6,4,1,0,0,0,0,0,4
1680,4,4,3,5,5,5,5,5,4,5,5,5,5,5,4
1681,5,4,4,3,4,4,6,6,5,6,6,6,6,6,4
1682,3,3,3,4,3,5,0,3,3,0,0,0,6,0,3
1683,4,6,6,4,6,2,6,6,6,6,6,6,6,6,4
1684,5,5,5,4,5,4,6,6,5,6,6,6,6,6,5
1685,5,4,5,5,5,5,5,5,5,5,6,5,6,6,5
1686,5,5,4,3,5,5,6,6,5,6,6,3,6,6,4
