,2013,2014,2015,2016,2017
363,6,3.0,0.0,5.0,6.0
364,6,6.0,5.0,5.0,6.0
365,5,3.0,5.0,6.0,5.0
366,4,5.0,5.0,4.0,4.0
367,5,3.0,3.0,5.0,4.0
368,5,3.0,6.0,6.0,4.0
369,4,5.0,5.0,5.0,4.0
370,4,4.0,5.0,6.0,4.0
371,5,2.0,1.0,5.0,4.0
372,6,5.0,5.0,5.0,3.0
373,6,4.0,5.0,4.0,4.0
374,5,4.0,5.0,5.0,3.0
375,6,6.0,5.0,6.0,6.0
376,5,6.0,6.0,5.0,4.0
377,6,6.0,3.0,5.0,4.0
378,6,5.0,3.0,6.0,6.0
379,5,4.0,5.0,5.0,6.0
380,4,4.0,6.0,6.0,4.0
381,5,6.0,6.0,2.0,6.0
382,4,4.0,5.0,3.0,6.0
383,5,4.0,6.0,4.0,4.0
384,6,4.0,6.0,5.0,6.0
385,6,3.0,4.0,5.0,5.0
386,4,6.0,3.0,5.0,4.0
387,0,5.0,6.0,4.0,5.0
388,5,4.0,6.0,5.0,5.0
389,4,5.0,6.0,3.0,6.0
390,5,5.0,6.0,5.0,4.0
391,6,0.0,4.0,5.0,3.0
392,6,3.0,6.0,5.0,5.0
393,6,6.0,5.0,5.0,4.0
394,3,5.0,6.0,3.0,2.0
395,5,3.0,4.0,4.0,4.0
396,2,4.0,6.0,4.0,4.0
397,2,6.0,4.0,4.0,6.0
398,6,5.0,4.0,4.0,1.0
399,4,5.0,6.0,6.0,3.0
400,4,5.0,5.0,3.0,5.0
401,3,5.0,4.0,5.0,5.0
402,5,3.0,6.0,3.0,3.0
403,0,3.0,4.0,4.0,4.0
404,5,5.0,3.0,4.0,5.0
405,0,5.0,3.0,5.0,5.0
406,3,6.0,5.0,5.0,6.0
407,6,6.0,3.0,5.0,5.0
408,6,3.0,6.0,5.0,3.0
409,6,6.0,4.0,4.0,6.0
410,4,0.0,3.0,6.0,4.0
411,6,6.0,5.0,3.0,6.0
412,6,3.0,5.0,5.0,6.0
413,6,6.0,3.0,3.0,5.0
414,2,6.0,3.0,5.0,4.0
415,6,6.0,6.0,5.0,5.0
416,6,6.0,3.0,3.0,6.0
417,4,2.0,0.0,4.0,5.0
418,6,5.0,5.0,4.0,5.0
419,4,3.0,3.0,5.0,5.0
420,1,1.0,4.0,3.0,4.0
421,3,4.0,5.0,6.0,6.0
422,4,5.0,5.0,6.0,4.0
423,6,0.0,5.0,6.0,6.0
424,5,4.0,5.0,4.0,3.0
425,6,6.0,5.0,3.0,5.0
426,3,3.0,6.0,5.0,4.0
427,6,4.0,5.0,5.0,5.0
428,4,4.0,5.0,4.0,5.0
429,6,5.0,5.0,6.0,5.0
430,6,6.0,4.0,5.0,4.0
431,3,6.0,3.0,4.0,2.0
432,0,3.0,3.0,5.0,3.0
433,0,2.0,4.0,5.0,6.0
434,4,6.0,3.0,6.0,4.0
435,3,5.0,5.0,6.0,4.0
436,6,0.0,4.0,6.0,6.0
437,4,4.0,4.0,5.0,5.0
438,4,5.0,5.0,6.0,5.0
439,6,5.0,5.0,4.0,5.0
440,4,4.0,4.0,5.0,5.0
441,6,2.0,0.0,5.0,5.0
442,5,4.0,3.0,6.0,6.0
443,5,6.0,6.0,5.0,5.0
444,5,3.0,4.0,3.0,6.0
445,6,5.0,3.0,2.0,6.0
446,4,4.0,5.0,3.0,5.0
447,5,5.0,6.0,5.0,6.0
448,4,6.0,5.0,5.0,5.0
449,5,0.0,5.0,4.0,2.0
450,5,0.0,5.0,5.0,4.0
451,5,4.0,4.0,5.0,5.0
452,2,4.0,6.0,5.0,5.0
453,6,6.0,5.0,5.0,4.0
454,0,4.0,5.0,6.0,5.0
455,1,4.0,6.0,3.0,5.0
456,3,0.0,6.0,2.0,5.0
457,5,2.0,3.0,6.0,6.0
458,5,4.0,3.0,5.0,6.0
459,4,6.0,6.0,2.0,5.0
460,4,1.0,6.0,4.0,3.0
461,6,5.0,3.0,4.0,4.0
462,5,5.0,4.0,5.0,5.0
463,4,6.0,5.0,4.0,4.0
464,6,5.0,1.0,4.0,5.0
465,4,5.0,6.0,6.0,3.0
466,6,4.0,6.0,4.0,5.0
467,5,3.0,2.0,5.0,4.0
468,0,6.0,6.0,5.0,5.0
469,3,4.0,5.0,4.0,5.0
470,5,5.0,6.0,4.0,5.0
471,6,4.0,6.0,4.0,4.0
472,3,5.0,3.0,4.0,3.0
473,6,4.0,0.0,2.0,3.0
474,4,6.0,6.0,6.0,4.0
475,6,6.0,5.0,4.0,5.0
476,6,5.0,6.0,0.0,5.0
477,6,1.0,4.0,4.0,5.0
478,5,6.0,6.0,5.0,4.0
479,5,4.0,5.0,3.0,5.0
480,4,0.0,4.0,3.0,5.0
481,5,2.0,6.0,5.0,6.0
482,5,5.0,3.0,5.0,4.0
483,3,3.0,5.0,5.0,5.0
484,1,6.0,4.0,3.0,5.0
485,6,6.0,4.0,5.0,2.0
486,6,1.0,1.0,5.0,5.0
487,6,5.0,4.0,4.0,5.0
488,3,6.0,5.0,5.0,3.0
489,3,4.0,3.0,5.0,5.0
490,5,4.0,5.0,5.0,4.0
491,0,1.0,4.0,5.0,3.0
492,4,3.0,3.0,4.0,3.0
493,3,6.0,6.0,5.0,5.0
494,4,6.0,5.0,4.0,0.0
495,6,3.0,2.0,5.0,2.0
496,0,2.0,5.0,5.0,5.0
497,1,5.0,2.0,5.0,5.0
498,5,0.0,4.0,3.0,5.0
499,3,5.0,4.0,3.0,4.0
500,5,5.0,5.0,4.0,5.0
501,5,6.0,3.0,6.0,5.0
502,6,4.0,0.0,6.0,3.0
503,6,4.0,0.0,3.0,3.0
504,5,4.0,4.0,4.0,0.0
505,6,5.0,3.0,3.0,1.0
506,5,6.0,4.0,0.0,4.0
507,4,4.0,5.0,5.0,5.0
508,6,3.0,3.0,5.0,4.0
509,0,6.0,5.0,6.0,4.0
510,5,3.0,2.0,4.0,4.0
511,5,2.0,4.0,6.0,4.0
512,1,4.0,3.0,4.0,3.0
513,6,1.0,2.0,6.0,4.0
514,3,6.0,4.0,5.0,5.0
515,5,3.0,6.0,4.0,6.0
516,4,2.0,0.0,5.0,5.0
517,2,6.0,6.0,6.0,0.0
518,3,6.0,6.0,5.0,5.0
519,4,5.0,5.0,3.0,6.0
520,4,5.0,4.0,4.0,4.0
521,4,4.0,2.0,5.0,4.0
522,5,6.0,1.0,5.0,3.0
523,5,4.0,5.0,5.0,6.0
