RESPNUM,CCGID,RUN,INTDATE,GATE,AREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,DEPTIME,ARRTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8IMPROVE1,Q8IMPROVE2,Q8IMPROVE3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10SAFEA,Q10SAFEB,Q10SAFEC,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15PROBCOM1,Q15PROBCOM2,Q15PROBCOM3,Q16LIVE,Q17ST,Q17ZIP,Q17COUNTRY,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Location 1
2448,389,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:50 AM,2,,,,,,2,,,,,,,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,4,4,,,,5,,,,0,0,,,,0,5,5,5,1,1,,,3,CA,,US,1,0,0,0,0,0,0,1,0.7780874494,
2449,390,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:30 AM,2,,,,,,5,,,,,,,1,2,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,6,5,5,,,,5,,,,1,5,0,,,5,0,5,0,3,,,,2,CA,95321,US,10,3,2,1,1,0,1,1,0.7780874494,
2450,391,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:00 AM,2,,,,,,7,,,,,,,1,1,1,2,2,4,0,4,4,4,5,0,0,0,1,4,6,6,6,6,4,204,30,,5,0,0,5,5,5,,,,5,,,,2,,,,,99,5,5,5,2,,,,2,CA,95746,US,10,5,2,2,2,2,2,1,0.7780874494,
2451,392,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:40 AM,1,,,,,,12,,,,,,,2,1,2,2,3,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,4,,,,0,0,,,,5,5,4,5,2,,,,1,CA,,US,1,3,2,4,2,1,1,1,0.7780874494,
2452,393,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:00 AM,3,,,,,,1,,,,,,3,2,1,2,1,4,2,3,2,2,5,5,5,6,6,3,2,2,6,4,6,3,3,24,200,4,6,6,6,4,4,,,,3,10,,,2,,,,,5,3,3,3,2,,,,1,CA,94110,US,1,3,1,1,2,2,2,1,0.7780874494,
2453,394,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:00 AM,1,,,,,,14,,,,,,,2,1,2,2,3,2,5,4,5,5,5,4,6,6,0,0,0,0,0,0,5,7,,,5,5,6,5,4,5,,,,5,6,,,2,,,,,5,5,5,5,2,,,,3,NY,10022,US,12,3,2,3,2,2,2,1,0.7780874494,
2454,395,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:30 AM,1,,,,,,14,,,,,,,1,1,2,2,3,4,6,3,4,3,4,3,3,3,6,3,6,6,6,6,3,2,8,,5,6,6,4,4,4,,,,4,6,4,,2,,,,,5,5,4,4,2,,,,3,NY,10022,US,12,4,2,0,1,0,0,1,0.7780874494,
2455,396,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:30 AM,3,,,,,,2,,,,,,,2,2,1,1,3,4,4,4,4,3,3,3,6,6,6,3,3,2,6,6,0,,,,3,3,3,3,3,3,,,,3,,,,1,5,2,,,1,3,4,4,1,33,,,1,CA,94566,US,3,6,2,4,2,2,1,1,0.7780874494,
2456,397,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,5:45 AM,2,,,,,,6,,,,,,,1,1,1,2,3,2,5,3,4,5,5,5,6,6,5,5,6,4,6,5,5,1,,,5,5,5,5,5,5,,,,4,,,,2,,,,,5,5,5,5,2,,,,1,CA,94124,US,1,3,2,1,2,2,2,1,0.7780874494,
2457,398,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:45 AM,2,3,,,,,1,,,,,,3,1,0,0,0,5,3,4,2,1,3,5,4,3,6,3,4,3,3,3,6,4,130,,,5,4,6,3,3,4,,,,5,,,,2,,,,,5,0,0,0,0,,,,1,CA,94118,US,1,3,1,4,2,0,1,1,0.7780874494,
