*RESPNUM,CCGID,RUNID,INTDATE,EGYPTAIR,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE CODE,DEST CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13 COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q18PET,Q19AGE,Q20GENDER,Q21INCME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,HOWLONG,Q17CITY,Q17STATE
2865,1100,856,05/23/2016 12:00:00 AM,2,2,9,A,2,3,1,1,CHINA EASTERN,SHANGHAI,590,13,62,8,4,9:00:00,12:00:00,2,,,1,,,1,1,1,2,1,1,1,4,3,4,4,3,4,3,5,5,6,4,4,5,6,3,4,999,,,,,3,3,3,3,3,3,0,,,5,5,,,1,3,19,,,7,5,5,3,2,,,,1,94041,UNITED STATES,4,1,65-Over,Male,0,2,1,4,1,0.9755176715,180,MOUNTAIN VIEW,CA
694,757,858,05/24/2016 12:00:00 AM,2,3,58,D,1,2,1,1,AMERICAN,DALLAS-FT. WORTH,1454,8,15,3,4,4:00:00,6:00:00,3,,,5,,,,0,0,0,0,0,0,0,4,3,3,4,4,4,4,4,4,6,6,6,6,6,4,215,,,,,4,6,6,6,6,4,0,,,5,5,,,2,,,,,6,3,3,3,2,,,,1,94066,UNITED STATES,2,1,65-Over,Male,0,2,2,2,1,1.1225454545,120,SAN BRUNO,CA
2675,1040,867,05/24/2016 12:00:00 AM,2,3,85,F,1,1,1,2,UNITED,NEWARK,414,28,44,2,4,7:30:00,9:00:00,2,,,2,,,,2,1,2,2,3,1,4,4,4,4,5,4,5,4,4,4,5,4,6,6,6,4,0,,,,,5,6,6,4,4,5,0,,,5,0,,,1,5,0,,,5,0,5,0,2,,,,3,,UNITED STATES,12,1,65-Over,Male,0,2,2,2,1,1.757875,90,GARRISON,NY
2729,978,873,05/24/2016 12:00:00 AM,2,3,95,G,3,3,1,2,AIR NEW ZEALAND,AUCKLAND,7,5,2,9,2,18:00:00,21:45:00,6,,,2,,,,1,1,1,1,3,1,4,4,2,2,4,4,4,2,3,4,4,6,6,6,6,4,103,,,,,4,4,4,4,4,4,0,,,3,17,,,3,,,,,5,5,5,4,2,,,,1,,UNITED STATES,1,1,65-Over,Male,0,2,2,2,1,0.9755176715,225,SAN FRANCISCO,CA
1214,2359,598,05/11/2016 12:00:00 AM,1,4,10,A,1,3,1,2,ALASKA,PUERTO VALLARTA,224,7,52,4,1,N,10:35:00,3,,,1,,,0,2,0,1,1,2,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,1,4,5,5,2,,,,1,,UNITED STATES,3,1,Don't Know or Refused,Male,2,2,4,1,1,0.35525,,OAKLAND,CA
1501,2091,725,05/14/2016 12:00:00 AM,1,7,50,D,1,3,1,2,VIRGIN AMERICA,CANCUN,284,30,10,4,2,5:30:00,8:55:00,1,,,2,,,,2,0,0,0,4,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,,,,,4,4,4,4,4,4,0,,,5,0,,,1,0,0,,,2,4,0,0,0,,,,1,,,90,3,Don't Know or Refused,Male,4,1,1,1,1,1.0005296443,205,,
2080,2676,528,05/07/2016 12:00:00 AM,1,7,81,F,3,2,1,1,UNITED,LAS VEGAS,394,28,30,1,4,17:00:00,19:02:00,2,,,7,,,,1,2,1,3,1,2,1,3,4,6,4,4,6,6,6,6,4,6,6,6,6,4,406,,,,,4,6,6,4,4,4,0,,,4,0,,,0,,,,,0,0,0,0,0,,,,0,,,99,5,Don't Know or Refused,Male,0,4,4,4,1,1.757875,122,,
2352,2949,548,05/08/2016 12:00:00 AM,1,1,96,G,2,3,1,2,AIR CANADA,TORONTO,784,3,67,4,4,12:30:00,16:00:00,5,,,13,,,,2,0,1,1,1,2,1,4,4,0,0,0,5,0,0,0,4,0,0,0,0,4,0,,,,,5,0,0,0,5,5,0,,,5,0,,,3,,,,,0,0,0,0,0,,,,3,,CANADA,13,1,Don't Know or Refused,Male,0,2,2,2,1,0.2510956938,210,TORONTO,
348,3,577,05/09/2016 12:00:00 AM,1,2,31,B,3,2,1,1,SOUTHWEST,SANTA ANA,1860,25,58,1,2,16:10:00,17:55:00,1,,,6,,,,1,2,1,2,1,1,2,5,5,5,5,5,5,5,5,6,5,6,5,6,6,5,999,,,,,5,5,6,5,5,5,0,,,5,0,,,0,,,,,0,0,0,0,0,,,,1,,,90,5,Don't Know or Refused,Male,0,4,4,4,1,0.8875125,105,,
5,76,610,05/11/2016 12:00:00 AM,1,4,42,C,3,2,1,1,DELTA,SALT LAKE CITY,2800,15,54,1,2,17:00:00,18:05:00,1,,,4,,,,2,1,2,2,5,1,3,4,3,3,3,3,4,6,6,4,3,6,6,6,3,3,609,202,,,,3,6,3,3,3,3,0,,,0,0,,,0,,,,,0,0,0,0,0,,,,0,,,99,5,Don't Know or Refused,Male,0,4,4,4,1,1.0455967742,65,,
1707,1603,756,05/16/2016 12:00:00 AM,1,2,94,G,2,3,1,2,AIR CANADA,TORONTO,784,3,67,4,4,14:30:00,15:50:00,1,,,1,,,2,2,2,2,1,5,1,4,4,3,0,2,3,3,6,6,2,3,2,4,3,3,3,616,,,,,3,3,3,3,3,3,0,,,3,20,,,1,4,4,,,7,5,5,5,2,,,,1,95014,UNITED STATES,4,1,Don't Know or Refused,Male,0,1,1,4,1,0.2510956938,80,CUPERTINO,CA
566,451,844,05/21/2016 12:00:00 AM,2,7,91,G,3,3,1,2,AIR CANADA,VANCOUVER,569,3,68,4,3,N,17:20:00,5,,,2,,,,1,2,1,1,4,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,501,,,,,0,0,0,0,0,0,0,,,4,0,,,3,,,,,5,0,0,0,2,,,,1,,,90,1,Don't Know or Refused,Male,0,2,2,2,1,0.2510956938,,,
2328,2983,520,05/07/2016 12:00:00 AM,1,7,4,A,2,3,1,2,CHINA SOUTHERN,WUHAN,660,14,70,8,3,11:00:00,13:55:00,2,,,2,,,,1,1,2,1,1,2,1,6,3,4,5,4,4,6,6,5,3,6,6,6,6,4,704,,,,,5,6,6,6,4,4,0,,,4,0,,,0,,,,,6,0,4,3,2,,,,3,,,99,1,Under 18,Female,1,3,2,2,1,0.9755176715,175,,
1742,1566,773,05/17/2016 12:00:00 AM,1,3,28,B,3,2,1,2,SOUTHWEST,PHOENIX,1081,25,49,1,4,20:00:00,21:50:00,6,,,1,,,3,1,1,1,1,3,1,4,4,2,3,4,4,4,3,3,3,2,3,4,4,3,4,701,,,,,4,4,4,4,4,4,0,,,5,5,,,1,3,4,,,8,3,5,5,2,,,,1,95687,UNITED STATES,8,1,Under 19,Female,1,1,1,4,1,0.8875125,110,VACAVILLE,CA
689,740,847,05/22/2016 12:00:00 AM,2,1,94,G,2,3,1,2,SINGAPORE AIRLINES,SEOUL-INCHEON,15,24,61,8,3,11:00:00,14:05:00,3,,,2,,,,1,2,2,2,1,2,1,5,3,4,3,4,5,5,4,6,6,6,6,6,5,5,202,103,,,,5,6,6,5,5,5,0,,,4,0,,,3,,,,,5,3,3,4,2,,,,3,85051,UNITED STATES,10,1,Under 21,Female,1,3,2,1,1,0.9755176715,185,PHOENIX,AZ
2938,2845,537,05/08/2016 12:00:00 AM,1,1,28,B,2,2,1,2,SOUTHWEST,LOS ANGELES,2642,25,34,1,4,10:30:00,13:20:00,2,,,4,,,,1,1,2,2,1,2,1,3,6,3,3,3,3,6,6,3,4,6,6,6,6,0,0,,,,,3,6,6,6,3,3,0,,,4,0,,,1,4,0,,,5,4,3,3,2,,,,3,87124,UNITED STATES,10,1,Under 22,Female,2,2,2,2,1,0.8875125,170,RIO RANCHO,NM
