,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1375,6,6,6,3,5,3,6,6,0,0,3,0,0,4
1376,5,5,5,3,4,4,4,4,2,6,6,6,6,5
1377,0,4,4,3,4,4,6,6,6,6,6,6,6,4
1378,6,4,4,5,5,5,5,5,5,3,4,6,6,4
1379,4,4,2,3,4,4,5,4,3,3,5,5,4,4
1380,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,4,6,4,5,5,5,5,5,5,4,6,6,6,4
1383,3,2,3,4,5,5,5,5,3,3,4,3,4,4
1384,5,4,4,4,4,4,4,4,4,3,3,4,4,5
1385,4,6,6,4,4,4,4,4,4,4,6,6,6,4
1386,4,3,4,4,5,5,6,6,4,4,6,6,6,4
1387,3,3,2,4,5,2,6,4,4,6,6,6,6,4
1388,4,3,4,4,4,4,6,4,3,3,4,6,3,4
1389,0,0,0,0,0,2,0,0,4,4,0,0,0,4
1390,6,6,6,0,5,4,2,5,3,4,6,6,6,3
1391,4,6,6,4,4,5,6,6,4,6,6,6,6,4
1392,4,4,4,3,4,4,4,4,4,6,6,6,6,4
1393,6,6,6,5,4,4,3,3,5,6,6,6,6,4
1394,3,1,2,4,3,2,2,0,2,3,4,3,3,2
1395,4,3,3,4,4,4,6,6,4,2,4,3,3,4
1396,4,4,4,5,5,5,5,5,5,5,5,4,0,5
1397,6,6,6,5,5,6,5,5,5,6,6,6,6,5
1398,3,3,4,3,4,4,4,4,6,6,6,6,6,4
1399,6,6,6,5,5,5,5,5,0,0,0,0,0,5
1400,4,3,3,4,5,4,3,3,4,6,6,6,6,4
1401,6,3,6,5,5,4,6,6,5,4,6,6,6,4
1402,6,3,4,5,5,5,6,6,6,6,6,6,6,4
1403,4,4,3,4,4,4,4,4,2,2,3,6,6,4
1404,4,3,3,5,4,3,6,6,4,4,4,4,6,4
1405,0,0,0,4,4,4,0,0,0,0,0,0,0,4
1406,4,4,6,5,5,0,0,0,6,6,6,6,6,5
1407,4,2,5,5,5,4,6,6,6,6,6,6,6,5
1408,4,3,4,5,5,5,6,6,4,6,4,6,4,4
1409,5,5,5,5,5,5,5,5,5,5,6,6,6,5
1410,0,2,2,3,3,2,4,3,3,3,0,6,6,4
1411,4,6,6,4,4,3,6,6,4,6,6,6,6,5
1412,4,3,4,4,5,4,4,5,5,4,4,4,4,4
1413,4,4,4,5,5,5,5,5,4,4,6,6,6,5
1414,4,4,4,4,4,4,3,3,5,3,4,3,4,4
1415,4,4,4,5,5,4,4,0,4,4,6,6,6,4
1416,6,6,0,4,2,4,6,6,3,6,4,6,4,4
1417,3,6,4,5,5,5,6,6,4,6,4,6,3,4
1418,4,6,6,5,6,5,6,6,6,6,6,6,6,4
1419,6,5,6,5,5,5,6,6,5,6,6,6,6,4
1420,6,4,2,5,5,5,6,6,6,6,6,6,6,4
1421,6,0,3,3,3,3,3,3,6,6,6,6,6,3
1422,4,5,5,5,4,0,6,6,5,6,6,6,6,5
1423,5,4,3,4,3,4,4,4,4,4,5,3,3,4
1424,6,6,6,0,5,5,5,5,6,6,6,6,0,5
1425,0,0,0,4,0,4,0,0,4,4,0,6,6,4
1426,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1427,2,2,1,2,1,2,2,2,2,3,3,6,3,2
1428,4,3,6,4,4,6,6,6,6,6,2,6,6,3
1429,3,2,3,3,2,3,3,3,3,3,3,6,4,4
1430,3,3,3,3,3,2,6,6,3,3,4,3,2,3
1431,4,3,3,3,3,3,3,3,3,3,3,3,6,3
1432,3,3,3,2,4,4,6,6,6,6,4,6,6,4
1433,3,4,3,4,4,4,4,4,4,6,6,6,6,4
