,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
2732,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2733,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
2734,4,3,3,4,4,4,4,4,4,4,6,4,6,6,4
2735,5,6,6,5,5,5,2,6,6,5,6,5,6,5,5
2736,4,5,4,4,4,4,6,6,6,3,6,6,6,6,4
2737,4,4,4,4,4,4,6,6,6,6,6,4,6,4,0
2738,3,3,4,4,4,4,2,2,5,5,0,5,0,5,4
2739,4,2,2,3,4,3,3,3,2,3,3,6,6,6,4
2740,3,3,3,4,4,4,3,3,5,6,6,4,6,6,4
2741,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5
2742,5,4,4,5,5,4,4,4,5,5,4,4,4,4,5
2743,1,1,1,3,3,4,6,6,6,6,6,4,6,6,2
2744,5,5,4,5,5,5,6,6,5,6,6,6,6,5,5
2745,4,6,6,4,4,4,4,4,4,6,6,6,6,6,4
2746,3,4,4,4,4,3,3,4,0,4,4,4,4,4,4
2747,5,3,6,4,6,6,6,6,4,6,6,6,6,6,4
2748,6,3,6,4,4,4,6,6,6,6,6,6,6,6,4
2749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2750,3,6,3,4,5,4,0,4,5,6,6,6,6,6,4
2751,5,5,5,5,5,5,6,6,5,5,6,6,6,6,5
2752,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
2753,6,6,6,4,6,4,6,6,6,6,6,5,6,6,5
2754,3,3,3,3,3,3,3,3,3,0,3,0,0,0,4
2755,5,2,3,3,4,4,3,3,6,4,6,6,6,0,3
2756,4,4,4,4,3,4,6,6,4,6,6,5,6,5,4
2757,5,6,6,5,5,5,6,6,6,6,6,6,6,6,5
2758,4,4,4,4,4,4,3,3,5,4,4,3,3,3,5
2759,4,4,4,4,4,4,4,5,6,5,5,0,0,0,4
2760,5,5,5,5,5,5,6,5,5,6,6,6,6,6,5
2761,3,3,6,3,6,3,6,6,3,6,3,6,6,6,3
2762,3,3,3,4,4,3,6,6,5,6,6,6,6,6,3
2763,6,6,3,4,4,4,6,6,5,6,6,6,6,6,4
2764,4,4,4,4,4,4,6,6,2,4,4,6,4,6,4
2765,6,3,4,4,6,4,6,6,4,4,6,6,6,6,3
2766,4,3,3,5,4,4,6,6,2,3,6,5,6,6,4
2767,5,4,4,4,4,5,5,5,5,6,6,6,6,6,5
2768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2769,4,4,4,4,4,4,5,5,6,6,6,6,6,6,4
2770,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2771,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2772,5,4,6,5,5,5,6,0,5,6,6,5,6,6,4
2773,3,3,3,4,4,4,4,4,6,4,4,4,4,4,4
2774,5,4,3,5,5,5,6,6,6,6,6,6,6,6,3
2775,5,4,4,5,5,5,6,6,6,4,6,6,6,6,4
2776,4,3,3,2,4,4,6,6,4,4,6,4,6,3,4
2777,6,5,5,5,5,5,6,5,6,6,6,6,6,6,5
2778,5,6,6,5,5,5,6,6,6,6,6,6,6,6,5
2779,4,4,3,4,4,4,6,6,5,6,6,6,6,6,4
2780,0,4,3,4,4,4,4,4,6,3,6,5,6,5,4
2781,4,6,3,4,4,4,6,4,6,3,6,6,6,3,4
2782,5,4,3,4,4,4,3,3,0,4,6,6,6,6,4
2783,4,5,4,4,4,4,4,4,5,4,4,5,6,4,4
2784,3,6,6,1,5,4,6,6,6,6,6,6,6,6,2
2785,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4
2786,3,4,4,3,4,4,6,6,6,6,6,6,6,6,4
2787,0,0,0,3,3,3,0,0,0,0,0,2,0,2,3
2788,5,4,3,4,4,5,6,6,5,5,4,6,5,4,4
2789,3,4,3,3,4,4,3,3,3,4,4,4,4,4,4
2790,5,4,0,5,5,4,4,4,4,3,3,5,6,2,0
2791,4,3,3,3,4,4,3,3,3,4,4,4,6,6,4
2792,4,4,4,6,6,3,6,6,6,6,6,6,6,6,4
2793,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5
2794,5,6,6,5,5,5,6,6,6,6,6,5,6,6,5
2795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2796,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5
2797,4,4,4,4,4,3,4,6,5,4,3,6,3,6,4
2798,3,3,3,5,5,3,6,6,5,5,5,5,6,4,4
2799,5,5,4,5,5,5,5,5,5,6,6,6,6,6,5
2800,4,3,3,3,3,3,6,6,3,4,4,6,4,6,4
2801,3,2,2,4,5,5,6,6,4,6,6,6,6,6,4
2802,4,5,5,5,5,5,6,6,5,6,6,6,6,6,5
2803,6,4,6,4,4,4,4,0,6,4,4,4,6,5,5
2804,4,3,3,4,4,4,6,6,3,4,4,4,6,4,3
2805,4,3,3,4,4,3,6,6,4,3,3,3,3,3,3
2806,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4
2807,5,5,5,5,5,5,5,5,5,6,5,6,6,6,5
2808,5,5,4,4,4,5,6,6,6,4,6,6,6,6,5
2809,4,3,2,4,2,3,6,6,2,4,4,3,6,3,4
2810,6,6,4,4,5,4,6,6,6,4,4,4,4,6,4
2811,3,4,3,5,5,5,6,6,5,6,6,5,6,6,4
2812,5,4,5,5,5,5,5,5,5,5,4,0,0,0,4
2813,5,4,4,4,3,3,3,3,3,4,4,4,4,6,4
2814,4,3,3,4,4,4,6,6,4,4,4,4,6,4,4
2815,2,2,2,3,3,3,6,6,2,6,6,6,6,6,3
2816,4,3,4,5,3,5,4,4,6,3,6,6,6,6,5
2817,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
2818,6,3,4,4,3,4,4,4,2,4,4,6,4,6,4
2819,5,5,5,5,5,5,5,5,6,5,5,6,5,6,5
2820,5,3,6,5,5,4,6,6,6,5,6,6,6,6,5
2821,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3
2822,2,3,3,2,2,2,2,2,2,6,6,6,6,6,3
2823,4,2,6,4,4,4,6,5,4,6,6,6,6,6,4
2824,5,3,3,5,5,5,5,5,2,5,0,0,0,0,4
2825,4,4,4,4,4,4,6,6,4,3,6,6,6,4,4
2826,5,2,3,3,6,3,6,6,4,4,6,6,6,6,4
2827,4,4,4,0,4,4,6,4,6,4,6,4,6,4,4
2828,4,4,4,3,6,4,6,6,4,4,3,4,4,2,4
2829,6,3,3,3,3,3,6,6,2,3,3,3,6,3,3
2830,3,2,2,3,3,3,6,6,6,3,3,4,6,4,3
2831,5,4,4,5,5,4,4,4,4,4,6,6,6,4,5
2832,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2833,6,4,4,5,4,4,6,6,4,3,6,5,6,6,4
2834,6,3,3,4,4,4,4,4,6,3,6,4,6,6,4
2835,4,5,3,4,4,2,6,6,6,3,6,3,6,4,4
2836,4,4,4,4,4,2,2,2,5,6,6,6,6,6,4
2837,4,5,5,3,5,5,6,6,5,6,6,6,6,6,5
2838,4,4,4,4,5,5,0,0,6,4,6,6,6,6,4
2839,4,2,2,3,4,4,5,0,5,2,6,4,6,6,3
2840,5,3,3,4,3,4,6,6,6,4,4,4,3,6,4
2841,3,3,6,4,6,4,6,6,6,6,6,6,6,6,4
2842,3,3,3,3,4,4,3,3,4,4,3,5,3,6,4
2843,6,3,3,3,3,3,3,3,3,6,6,6,6,6,3
2844,4,4,4,4,4,4,4,4,4,5,3,3,6,6,4
2845,3,3,3,4,4,4,4,4,4,4,6,4,6,4,4
2846,5,3,3,3,3,3,6,6,3,3,2,3,2,6,3
2847,5,4,6,6,5,5,6,6,4,4,4,5,2,4,4
2848,6,6,4,5,5,5,6,6,5,5,6,4,6,5,5
2849,4,3,3,4,4,4,6,6,4,3,3,6,4,6,4
2850,5,5,5,5,5,4,6,6,5,5,4,6,6,6,5
2851,3,3,3,3,3,3,3,3,3,4,4,6,4,0,4
2852,4,3,4,4,4,4,6,6,6,0,0,4,0,0,4
2853,4,4,3,3,4,4,6,6,6,4,3,6,6,6,3
2854,4,5,4,5,5,5,6,6,5,4,6,6,6,6,5
2855,3,2,3,4,3,3,6,6,4,3,6,3,6,3,0
2856,1,2,2,2,1,2,6,6,1,2,6,6,6,6,2
2857,4,4,4,4,4,5,4,4,6,4,5,6,6,6,4
2858,0,6,6,6,4,6,6,6,4,6,6,6,6,6,3
2859,6,5,5,5,5,5,6,6,5,6,6,5,6,5,5
2860,4,4,3,4,5,5,6,6,5,3,3,4,6,4,4
2861,5,4,4,4,4,4,3,3,3,6,6,6,6,6,4
2862,3,6,6,3,3,4,3,4,6,4,4,4,6,6,6
2863,4,3,6,3,4,3,3,2,6,2,6,4,6,4,4
2864,5,4,3,4,4,4,6,6,4,3,3,6,6,6,4
2865,4,3,3,4,4,6,6,6,4,6,6,6,6,6,4
2866,3,0,2,3,3,3,3,3,3,6,6,6,6,6,3
2867,4,4,4,4,5,5,5,5,5,6,6,6,6,6,5
2868,6,6,6,4,5,4,6,6,6,4,4,4,6,4,4
2869,6,5,5,5,5,5,5,5,6,6,6,5,6,5,5
2870,4,6,4,4,4,5,6,6,6,4,5,6,6,6,4
2871,5,3,4,3,5,5,6,4,6,6,6,6,6,6,4
2872,3,5,5,4,5,5,0,0,0,5,5,0,0,0,0
2873,3,4,4,0,5,5,6,6,5,6,6,5,6,5,5
2874,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0
2875,4,5,6,5,5,5,5,5,6,4,6,5,6,4,5
